mode,n,m,instance,seed,algorithm,makespan,optimal_makespan,ratio,runtime_seconds
unidirectional,5,10,0,53026,ILP,10,10,1.0,0.007104423000782845
unidirectional,5,10,0,53026,REC,10,10,1.0,7.950100007292349e-05
unidirectional,5,10,0,53026,Heap-Based,10,10,1.0,5.371400038711727e-05
unidirectional,5,10,1,53027,ILP,12,12,1.0,0.014332830000057584
unidirectional,5,10,1,53027,REC,12,12,1.0,7.578699842269998e-05
unidirectional,5,10,1,53027,Heap-Based,12,12,1.0,5.1076998715871014e-05
unidirectional,5,10,2,53028,ILP,13,13,1.0,0.005376178000005893
unidirectional,5,10,2,53028,REC,13,13,1.0,8.714599971426651e-05
unidirectional,5,10,2,53028,Heap-Based,13,13,1.0,4.843900023843162e-05
unidirectional,5,10,3,53029,ILP,13,13,1.0,0.00512388000061037
unidirectional,5,10,3,53029,REC,13,13,1.0,6.295099956332706e-05
unidirectional,5,10,3,53029,Heap-Based,13,13,1.0,4.369100133772008e-05
unidirectional,5,10,4,53030,ILP,13,13,1.0,0.005496067999047227
unidirectional,5,10,4,53030,REC,13,13,1.0,5.654300002788659e-05
unidirectional,5,10,4,53030,Heap-Based,13,13,1.0,3.569900036382023e-05
unidirectional,5,10,5,53031,ILP,13,13,1.0,0.005589725000390899
unidirectional,5,10,5,53031,REC,13,13,1.0,7.363499935308937e-05
unidirectional,5,10,5,53031,Heap-Based,13,13,1.0,5.108600089442916e-05
unidirectional,5,10,6,53032,ILP,13,13,1.0,0.005791968000266934
unidirectional,5,10,6,53032,REC,13,13,1.0,8.803000127954874e-05
unidirectional,5,10,6,53032,Heap-Based,13,13,1.0,6.532100087497383e-05
unidirectional,5,10,7,53033,ILP,13,13,1.0,0.018601565998324077
unidirectional,5,10,7,53033,REC,13,13,1.0,7.101899973349646e-05
unidirectional,5,10,7,53033,Heap-Based,13,13,1.0,6.288000076892786e-05
unidirectional,5,10,8,53034,ILP,12,12,1.0,0.005590249000306358
unidirectional,5,10,8,53034,REC,12,12,1.0,7.138799992389977e-05
unidirectional,5,10,8,53034,Heap-Based,12,12,1.0,5.031199907534756e-05
unidirectional,5,10,9,53035,ILP,14,14,1.0,0.005105378000735072
unidirectional,5,10,9,53035,REC,14,14,1.0,6.538299930980429e-05
unidirectional,5,10,9,53035,Heap-Based,14,14,1.0,4.6192999434424564e-05
unidirectional,5,10,10,53036,ILP,12,12,1.0,0.005336621999958879
unidirectional,5,10,10,53036,REC,12,12,1.0,6.559299981745426e-05
unidirectional,5,10,10,53036,Heap-Based,12,12,1.0,4.523399911704473e-05
unidirectional,5,10,11,53037,ILP,14,14,1.0,0.0054339629987225635
unidirectional,5,10,11,53037,REC,14,14,1.0,7.303300117200706e-05
unidirectional,5,10,11,53037,Heap-Based,14,14,1.0,5.580499964707997e-05
unidirectional,5,10,12,53038,ILP,12,12,1.0,0.005579933000262827
unidirectional,5,10,12,53038,REC,12,12,1.0,6.207199839991517e-05
unidirectional,5,10,12,53038,Heap-Based,12,12,1.0,3.9537999327876605e-05
unidirectional,5,10,13,53039,ILP,12,12,1.0,0.00568298500002129
unidirectional,5,10,13,53039,REC,12,12,1.0,6.771100015612319e-05
unidirectional,5,10,13,53039,Heap-Based,12,12,1.0,4.663499930757098e-05
unidirectional,5,10,14,53040,ILP,11,11,1.0,0.005505560999154113
unidirectional,5,10,14,53040,REC,11,11,1.0,7.656900015717838e-05
unidirectional,5,10,14,53040,Heap-Based,11,11,1.0,4.340399937063921e-05
unidirectional,5,10,15,53041,ILP,14,14,1.0,0.005700351999621489
unidirectional,5,10,15,53041,REC,14,14,1.0,7.751500015729107e-05
unidirectional,5,10,15,53041,Heap-Based,14,14,1.0,6.26520013611298e-05
unidirectional,5,10,16,53042,ILP,13,13,1.0,0.006002382999213296
unidirectional,5,10,16,53042,REC,14,13,1.0769230769230769,9.285499982070178e-05
unidirectional,5,10,16,53042,Heap-Based,13,13,1.0,6.69250002829358e-05
unidirectional,5,10,17,53043,ILP,14,14,1.0,0.027170191000550403
unidirectional,5,10,17,53043,REC,14,14,1.0,8.494199937558733e-05
unidirectional,5,10,17,53043,Heap-Based,14,14,1.0,5.447900002764072e-05
unidirectional,5,10,18,53044,ILP,12,12,1.0,0.00508278000052087
unidirectional,5,10,18,53044,REC,12,12,1.0,8.73039989528479e-05
unidirectional,5,10,18,53044,Heap-Based,12,12,1.0,4.716399962489959e-05
unidirectional,5,10,19,53045,ILP,10,10,1.0,0.0074596440008463105
unidirectional,5,10,19,53045,REC,10,10,1.0,7.013999857008457e-05
unidirectional,5,10,19,53045,Heap-Based,10,10,1.0,3.7582998629659414e-05
unidirectional,5,10,20,53046,ILP,14,14,1.0,0.016560120000576717
unidirectional,5,10,20,53046,REC,14,14,1.0,9.694700020190794e-05
unidirectional,5,10,20,53046,Heap-Based,14,14,1.0,6.252000093809329e-05
unidirectional,5,10,21,53047,ILP,15,15,1.0,0.005507515001227148
unidirectional,5,10,21,53047,REC,15,15,1.0,7.715399988228455e-05
unidirectional,5,10,21,53047,Heap-Based,15,15,1.0,5.285599945636932e-05
unidirectional,5,10,22,53048,ILP,12,12,1.0,0.011255579000135185
unidirectional,5,10,22,53048,REC,12,12,1.0,9.049999971466605e-05
unidirectional,5,10,22,53048,Heap-Based,12,12,1.0,5.570400026044808e-05
unidirectional,5,10,23,53049,ILP,11,11,1.0,0.005448673999126186
unidirectional,5,10,23,53049,REC,11,11,1.0,8.314200022141449e-05
unidirectional,5,10,23,53049,Heap-Based,11,11,1.0,5.2088000302319415e-05
unidirectional,5,10,24,53050,ILP,13,13,1.0,0.005637432999719749
unidirectional,5,10,24,53050,REC,13,13,1.0,7.760200060147326e-05
unidirectional,5,10,24,53050,Heap-Based,13,13,1.0,4.2253999708918855e-05
unidirectional,5,10,25,53051,ILP,15,15,1.0,0.0050781310001184465
unidirectional,5,10,25,53051,REC,15,15,1.0,7.902600009401795e-05
unidirectional,5,10,25,53051,Heap-Based,15,15,1.0,4.90830007038312e-05
unidirectional,5,10,26,53052,ILP,14,14,1.0,0.0054505450007127365
unidirectional,5,10,26,53052,REC,14,14,1.0,8.402000094065443e-05
unidirectional,5,10,26,53052,Heap-Based,14,14,1.0,5.3200999900582246e-05
unidirectional,5,10,27,53053,ILP,11,11,1.0,0.005077718000393361
unidirectional,5,10,27,53053,REC,11,11,1.0,7.259999983943999e-05
unidirectional,5,10,27,53053,Heap-Based,11,11,1.0,4.8711000999901444e-05
